Date,Close/Last,Volume,Open,High,Low
03/14/2025,$121.67,277593500,$118.61,$121.88,$118.15
03/13/2025,$115.58,299033100,$117.03,$117.76,$113.79
03/12/2025,$115.74,323857500,$114.12,$116.76,$112.88
03/11/2025,$108.76,354865700,$106.99,$112.236,$104.77
03/10/2025,$106.98,366487400,$109.90,$111.85,$105.46
03/07/2025,$112.69,341755500,$111.25,$113.48,$107.56
03/06/2025,$110.57,321181900,$113.53,$115.35,$110.22
03/05/2025,$117.30,284337900,$117.58,$118.2781,$114.51
03/04/2025,$115.99,398163300,$110.645,$119.31,$110.11
03/03/2025,$114.06,411381400,$123.51,$123.70,$112.28
02/28/2025,$124.92,389091100,$118.02,$125.09,$116.40
02/27/2025,$120.15,443175800,$135.00,$135.01,$120.01
02/26/2025,$131.28,322553800,$129.985,$133.73,$128.49
02/25/2025,$126.63,271428700,$129.98,$130.20,$124.44
02/24/2025,$130.28,251381100,$136.56,$138.59,$130.08
02/21/2025,$134.43,228217600,$140.04,$141.46,$134.03
02/20/2025,$140.11,143903600,$140.03,$140.66,$136.7901
02/19/2025,$139.23,167536000,$139.51,$141.36,$137.22
02/18/2025,$139.40,219176600,$141.27,$143.44,$137.925
